year	price	engine_volume_l	engine_power_hp	fuel_type	transmission	drivetrain	mileage_km	evaluation
2014	1460000	1.8	152	бензин	робот	передний	213645	нормальная цена
2024	3690000	1.4	150	бензин	робот	передний	1040	нормальная цена
2017	1975000	1.4	150	бензин	робот	передний	121552	нормальная цена
2019	2440000	1.4	150	бензин	робот	передний	55309	нормальная цена
2018	2200000	1.8	180	бензин	робот	передний	153000	Unknown
2010	1200000	1.8	152	бензин	робот	передний	188000	нормальная цена
2019	2800000	2.0	220	бензин	робот	передний	116000	нормальная цена
2019	1999000	1.4	150	бензин	робот	передний	101000	нормальная цена
2019	2790000	2.0	190	бензин	робот	передний	102076	нормальная цена
2011	950000	1.8	152	бензин	автомат	передний	176400	хорошая цена
2006	850000	1.9	105	дизель	механика	передний	268000	нормальная цена
2012	1200000	2.0	140	дизель	робот	передний	210000	нормальная цена
2006	500000	1.8	150	бензин	автомат	передний	180000	Unknown
2012	999000	1.8	152	бензин	автомат	передний	168000	хорошая цена
2013	1500000	1.8	152	бензин	робот	передний	187000	нормальная цена
2012	1500000	3.6	260	бензин	робот	4WD	256000	нормальная цена
2011	1240000	1.8	152	бензин	робот	передний	220000	нормальная цена
2019	2099000	1.8	180	бензин	робот	передний	134700	нормальная цена
2012	1500000	1.8	152	бензин	автомат	передний	227000	высокая цена
2023	3860000	2.0	186	бензин	робот	передний	6000	нормальная цена
2013	1239000	1.8	152	бензин	автомат	передний	135627	нормальная цена
2012	1170000	1.8	152	бензин	автомат	передний	219695	нормальная цена
2013	1379000	1.8	152	бензин	робот	передний	136000	нормальная цена
2010	1300000	1.8	152	бензин	механика	передний	172000	нормальная цена
2012	980000	1.8	152	бензин	автомат	передний	248008	нормальная цена
2012	1110000	1.8	152	бензин	автомат	передний	137000	нормальная цена
2011	900000	1.8	152	бензин	робот	передний	225000	Unknown
2010	997000	1.8	152	бензин	механика	передний	359000	нормальная цена
2009	1150000	1.8	152	бензин	робот	передний	250000	нормальная цена
2006	605000	1.8	150	бензин	автомат	передний	258000	хорошая цена
2007	550000	1.8	150	бензин	автомат	передний	250000	Unknown
2013	1525000	1.8	152	бензин	робот	передний	160000	нормальная цена
2011	1140000	1.8	152	бензин	робот	передний	140000	нормальная цена
2012	1060000	1.8	152	бензин	автомат	передний	193000	нормальная цена
2019	2129000	1.4	150	бензин	робот	передний	65310	хорошая цена
2012	1270000	1.8	152	бензин	автомат	передний	220000	нормальная цена
2013	1260000	1.8	152	бензин	робот	передний	192350	Unknown
2008	830000	2.0	140	дизель	робот	передний	289799	хорошая цена
2018	2000000	1.4	150	бензин	робот	передний	162000	нормальная цена
2013	1650000	1.8	152	бензин	робот	передний	149300	нормальная цена
2013	1700000	2.0	200	бензин	робот	передний	155500	нормальная цена
2018	2540000	2.0	220	бензин	робот	передний	150000	нормальная цена
2010	800000	1.8	152	бензин	робот	передний	316000	хорошая цена
2012	1240000	1.8	152	бензин	автомат	передний	211416	нормальная цена
2016	2050000	2.0	220	бензин	робот	передний	280000	нормальная цена
2018	1960000	1.4	150	бензин	робот	передний	104873	нормальная цена
2012	1210000	1.8	152	бензин	автомат	передний	332000	высокая цена
2012	999000	1.8	152	бензин	автомат	передний	259000	нормальная цена
2008	720000	1.8	152	бензин	механика	передний	235000	Unknown
2008	1100000	1.8	160	бензин	робот	передний	417000	нормальная цена
2021	4060000	2.0	190	бензин	робот	передний	20000	нормальная цена
2017	1950000	1.4	150	бензин	робот	передний	123330	нормальная цена
2016	1490000	1.4	150	бензин	робот	передний	187136	хорошая цена
2008	1100000	1.8	160	бензин	робот	передний	290000	Unknown
2009	960000	1.8	152	бензин	робот	передний	275257	нормальная цена
2006	850000	1.8	150	бензин	механика	передний	235000	высокая цена
2011	1365000	1.8	152	бензин	автомат	передний	123429	высокая цена
2013	1750000	2.0	140	дизель	робот	передний	128000	нормальная цена
2010	700000	1.8	152	бензин	робот	передний	182000	Unknown
2013	1599999	1.8	152	бензин	робот	передний	205350	нормальная цена
2013	1650000	1.8	152	бензин	робот	передний	147200	Unknown
2020	2699000	1.4	150	бензин	робот	передний	83730	нормальная цена
2006	620000	1.8	150	бензин	механика	передний	330000	нормальная цена
2004	395000	1.8	150	бензин	механика	передний	211700	нормальная цена
2013	1214000	1.8	152	бензин	автомат	передний	177425	нормальная цена
2009	645000	1.8	152	бензин	механика	передний	180000	Unknown
2014	1550000	2.0	140	дизель	робот	передний	176990	нормальная цена
2002	469000	2.5	155	дизель	автомат	передний	355000	нормальная цена
2011	1689000	1.8	152	бензин	робот	передний	190000	высокая цена
2013	1361000	1.8	160	бензин	механика	передний	118000	Unknown
2012	1500000	1.8	152	бензин	автомат	передний	248000	высокая цена
2012	1149999	2.0	200	бензин	робот	передний	235000	нормальная цена
